ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
NPS,Lightning,Lightning,0-25,Flat,0501-1500,012S,017W,18,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,NE,1501-2500,027S,015E,12,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
State,Lightning,Lightning,26-40,SE,501-1500,027S,015E,25,Kateel River,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,N,0-500,021N,053W,23,Seward,Other,N,N,Natural
ANCSA,Lightning,Lightning,0-25,N,501-1500,020N,045W,36,Seward,Unknown,N,N,Natural
USFS,Human,Campfire,0-25,Flat,0-500,040S,066E,8,Copper River,Unknown,N,N,Human
BLM,False Alarm,False Alarm,0-25,Flat,0501-1500,023N,015W,5,Fairbanks,Black Spruce,Y,N,False Alarm
Tribal,Lightning,Lightning,0-25,North,1501-2500,005N,021W,3,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,NW,501-1500,020N,052W,24,Seward,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,0-25,N,0-500,010N,066W,8,Seward,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,023N,009E,8,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,South East,1501-2500,011N,021W,35,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,019S,004E,26,Kateel River,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,0-25,Flat,1501-2500,010N,004E,13,Copper River,Black Spruce,N,N,Natural
USFWS,Campfire,Campfire,0-25,Flat,0-500,006S,013W,19,Seward,Other,N,N,Human
BLM,Lightning,Lightning,0-25,Flat,0-500,025N,063W,35,Seward,Mixed Trees,N,N,Natural
BLM,False Alarm,False Alarm,0-25,Flat,1501-2500,021N,013W,29,Fairbanks,Unknown,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,Flat,0-500,027N,063W,31,Seward,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,E,2501-3500,013N,005E,30,Copper River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,SE,2501-3500,013N,003E,28,Copper River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,NE,0-500,020N,057W,25,Seward,Other,N,N,Natural
State,Lightning,Lightning,0-25,E,501-1500,025S,023E,36,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,41-55,W,1501-2500,004N,007E,25,Fairbanks,Unknown,N,N,Natural
State,Lightning,Lightning,26-40,E,501-1500,016N,046W,18,Seward,Other,N,N,Natural
ANCSA,Lightning,Lightning,0-25,N,0-500,008N,068W,18,Seward,Grass,N,N,Natural
USFWS,Lightning,Lightning,0-25,N,0-500,011N,080W,18,Seward,Grass,N,N,Natural
State,Lightning,Lightning,26-40,E,501-1500,027S,011E,8,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,028N,020E,2,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,016S,007E,6,Kateel River,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,0501-1500,015S,018W,3,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,027S,024E,12,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Lightning,Lightning,0-25,N,0-500,009S,047W,35,Seward,Grass,N,N,Natural
USFWS,Lightning,Lightning,0-25,South,1501-2500,031N,011E,34,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,030N,012E,17,Fairbanks,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,019N,011E,19,Fairbanks,Black Spruce,N,N,Natural
Tribal,False Alarm,False Alarm,0-25,Flat,0-500,013S,011W,17,Kateel River,Black Spruce,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,0-500,013S,021E,17,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,013S,019E,15,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,011S,021E,18,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,NW,2501-3500,007N,009W,22,Copper River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,S,501-1500,024S,027E,4,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
USFWS,Lightning,Lightning,0-25,E,501-1500,014N,059W,9,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
State,Lightning,Lightning,0-25,N,501-1500,028N,044W,17,Seward,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,N,501-1500,007N,054W,11,Seward,Other,N,N,Natural
State,Lightning,Lightning,0-25,E,0-500,025S,009E,6,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0501-1500,023N,019E,25,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,E,501-1500,013N,030W,27,Seward,Other,N,N,Natural
DOD,Lightning,Lightning,0-25,Flat,2501-3500,012S,004E,24,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,016N,015E,11,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,003S,008W,24,Fairbanks,Mixed (Hardwoods/Softwoods),N,N,Natural
Private,Smoking,Smoking,0-25,E,0-500,017N,002E,23,Seward,Grass,N,N,Human
State,Lightning,Lightning,0-25,Flat,1501-2500,003S,021E,2,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,NW,2501-3500,006N,008E,12,Fairbanks,Mixed (Hardwoods/Softwoods),N,N,Natural
State,Lightning,Lightning,0-25,E,3501-4500,022N,012E,26,Seward,Other,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,013N,024W,11,Kateel River,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,0-25,Flat,2501-3500,004N,002E,33,Copper River,Unknown,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,003S,021W,16,Fairbanks,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,26-40,South West,0501-1500,007S,017E,23,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,North East,1501-2500,004S,021E,31,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,013S,017E,15,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,018S,023E,29,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,007S,007W,23,Kateel River,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,1501-2500,020S,024W,22,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,016S,024E,28,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,26-40,North East,1501-2500,012N,002E,3,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,SW,501-1500,001N,062W,29,Seward,Other,N,N,Natural
State,Lightning,Lightning,26-40,E,501-1500,025S,017E,22,Kateel River,Hardwoods,N,N,Natural
USFWS,Lightning,Lightning,0-25,NE,0-500,014N,078W,14,Seward,Other,N,N,Natural
USFWS,Lightning,Lightning,0-25,N,0-500,012N,078W,20,Seward,Other,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,012S,013E,25,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,010N,024W,4,Fairbanks,Unknown,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,014S,011E,10,Kateel River,Mixed Trees,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,013S,011E,27,Kateel River,Mixed Trees,N,N,Natural
USFWS,Lightning,Lightning,0-25,North West,1501-2500,012S,008E,4,Kateel River,Mixed Trees,N,N,Natural
State,Lightning,Lightning,0-25,Flat,1501-2500,013S,028W,21,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,014S,008E,26,Kateel River,Mixed Trees,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,013S,004E,22,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,N,1501-2500,003N,002W,20,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,004N,027W,36,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,West,0501-1500,017S,005E,11,Kateel River,Mixed Trees,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,009N,023W,7,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,014S,004E,21,Kateel River,Tundra,N,N,Natural
ANCSA,Lightning,Lightning,0-25,E,0-500,026S,024E,16,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,009S,005W,7,Kateel River,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,26-40,SE,501-1500,026S,022E,33,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,003N,015W,4,Fairbanks,Unknown,N,N,Natural
State,False Alarm,,26-40,SW,1501-2500,010N,030W,4,Seward,Unknown,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,NE,0-500,018N,057W,17,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
State,Lightning,Lightning,0-25,W,0-500,028N,049W,17,Seward,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,NW,0-500,027N,049W,5,Seward,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,0-25,W,501-1500,018N,055W,21,Seward,Other,N,N,Natural
USFWS,False Alarm,False Alarm,0-25,Flat,2501-3500,036N,013E,34,Fairbanks,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,SW,0-500,013S,050W,8,Seward,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,1501-2500,015S,018W,11,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,1501-2500,005N,005W,1,Copper River,Unknown,N,N,Natural
BLM,Lightning,Lightning,0-25,S,2501-3500,021S,007E,32,Fairbanks,Other,N,N,Natural
State,Lightning,Lightning,41-55,SW,1501-2500,003N,001E,14,Fairbanks,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,1501-2500,004S,029E,29,Fairbanks,Unknown,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0501-1500,012N,008W,3,Fairbanks,Unknown,N,N,Natural
ANCSA,Lightning,Lightning,41-55,E,501-1500,033N,035W,20,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,009S,019E,2,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,41-55,E,1501-2500,006N,005E,36,Fairbanks,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Lightning,Lightning,0-25,South East,0501-1500,005S,015E,30,Kateel River,Mixed Trees,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0-500,003S,014W,29,Kateel River,Mixed Trees,N,N,Natural
State,Lightning,Lightning,0-25,SE,501-1500,003N,049W,29,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,003S,013E,33,Kateel River,Mixed Trees,N,N,Natural
Private,False Alarm,,Unknown,Unknown,Unknown,007N,012W,25,Seward,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,S,501-1500,003N,049W,32,Seward,Grass,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,003S,008E,4,Kateel River,Mixed Trees,N,N,Natural
State,Lightning,Lightning,26-40,S,501-1500,007N,047W,11,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,001N,003W,7,Kateel River,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,003N,003W,11,Kateel River,Tundra,N,N,Natural
State,Lightning,Lightning,0-25,E,1501-2500,021N,017E,23,Copper River,Unknown,N,N,Natural
State,Lightning,Lightning,26-40,W,501-1500,009S,010W,3,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,41-55,S,501-1500,025N,039W,30,Seward,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,012S,013E,25,Kateel River,Unknown,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,013S,004E,23,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,017S,016E,12,Kateel River,Unknown,N,N,Natural
State,Lightning,Lightning,26-40,N,501-1500,004N,004W,2,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,N,0-500,015S,050W,25,Seward,Grass,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,003N,027E,5,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,028N,013E,35,Fairbanks,Unknown,N,N,Natural
ANCSA,Lightning,Lightning,0-25,S,0-500,011S,065W,4,Seward,Grass,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,005N,027E,6,Kateel River,Black Spruce,N,N,Natural
State,False Alarm,,41-55,SW,501-1500,001N,001W,13,Fairbanks,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,0-500,006S,021E,14,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,SW,0-500,014N,074W,3,Seward,Grass,N,N,Natural
USFWS,False Alarm,False Alarm,0-25,Flat,0501-1500,014N,001E,14,Fairbanks,Black Spruce,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,1501-2500,022N,029W,25,Seward,Grass,N,N,Natural
USFWS,Lightning,Lightning,0-25,S,0-500,014N,076W,28,Seward,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,2501-3500,023N,010W,29,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,S,0-500,014N,075W,2,Seward,Other,N,N,Natural
USFWS,Lightning,Lightning,0-25,NE,0-500,015N,074W,33,Seward,Other,N,N,Natural
City,Human,Campfire,0-25,Flat,0-500,038S,064E,6,Copper River,Unknown,N,N,Human
BIA,Lightning,Lightning,0-25,Flat,0-500,009S,003E,16,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,015S,011E,22,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,008S,003E,13,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,NW,501-1500,027S,014E,31,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
Private,False Alarm,,0-25,NW,501-1500,007S,005E,13,Fairbanks,Unknown,Y,N,False Alarm
Tribal,Lightning,Lightning,0-25,Flat,0-500,007S,003E,27,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,007S,009E,9,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,North West,0501-1500,006S,027E,15,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,007S,003E,33,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,007S,011E,34,Kateel River,Black Spruce,N,N,Natural
Private,Miscellaneous,Structure,0-25,W,0-500,29s,57e,30,Copper River,Other,N,N,Human
NPS,Lightning,Lightning,0-25,NE,501-1500,010N,027W,25,Seward,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,South,1501-2500,024N,006W,32,Fairbanks,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,010S,018E,31,Kateel River,Black Spruce,N,N,Natural
Tribal,False Alarm,False Alarm,0-25,Flat,0-500,032N,034W,16,Seward,Unknown,Y,N,False Alarm
Tribal,Lightning,Lightning,0-25,Flat,0-500,010S,017E,35,Kateel River,Black Spruce,N,N,Natural
State,False Alarm,,Unknown,Unknown,Unknown,023N,012E,14,Seward,Unknown,Y,N,False Alarm
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,003S,026W,6,Fairbanks,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,0-25,N,0-500,032N,033W,6,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Lightning,Lightning,0-25,N,0-500,018N,039W,24,Seward,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,004S,025W,5,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,005N,020E,4,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,003S,027W,11,Fairbanks,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,0-25,N,501-1500,028S,016E,17,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,006N,024W,23,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,SE,501-1500,023S,026E,16,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,SW,501-1500,031N,043W,14,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
State,False Alarm,False Alarm,0-25,Flat,1501-2500,030N,004W,24,Fairbanks,Black Spruce,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,1501-2500,014S,007E,9,Kateel River,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,013S,010E,2,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,South East,0501-1500,014S,011E,10,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,014S,011E,13,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,014S,012E,7,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,006S,026E,11,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,E,1501-2500,026N,017E,2,Copper River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0501-1500,028N,004E,31,Fairbanks,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,1501-2500,018S,022W,21,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,N,0-500,027N,082W,23,Seward,Other,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,1501-2500,018S,019W,9,Fairbanks,Black Spruce,N,N,Natural
Private,False Alarm,False Alarm,0-25,Flat,0-500,002S,015W,1,Fairbanks,Black Spruce,Y,N,False Alarm
NPS,Lightning,Lightning,0-25,Flat,1501-2500,018S,019W,18,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,004N,014W,32,Fairbanks,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,009S,004E,7,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,003N,015W,1,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,029S,022W,6,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,SE,0-500,026S,025E,10,Kateel River,Black Spruce,N,N,Natural
County,False Alarm,,0-25,E,501-1500,002N,001W,24,Fairbanks,Unknown,Y,N,False Alarm
ANCSA,Lightning,Lightning,0-25,SE,1501-2500,002S,001E,35,Copper River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,SW,501-1500,015N,036W,30,Seward,Other,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,028S,023W,25,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,SW,501-1500,020N,050W,2,Seward,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,007N,028E,5,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,002N,020W,22,Fairbanks,Unknown,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,003N,020W,15,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,NW,0-500,026N,082W,26,Seward,Other,N,N,Natural
Private,Lightning,Lightning,0-25,Flat,0-500,002S,015W,1,Fairbanks,Black Spruce,N,N,Natural
State,False Alarm,,0-25,E,501-1500,001N,001E,23,Fairbanks,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,SW,501-1500,002N,005E,18,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,E,501-1500,008S,009W,19,Fairbanks,Unknown,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,001S,010E,34,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,001S,001W,7,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0-500,011N,014E,25,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,W,0-500,006S,053W,35,Seward,Other,N,N,Natural
USFWS,Lightning,Lightning,26-40,S,501-1500,006N,062W,33,Seward,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,North East,1501-2500,005S,017E,5,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,023N,015W,9,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,South West,0501-1500,005S,024E,18,Kateel River,Black Spruce,N,N,Natural
DOD,Lightning,Lightning,0-25,Flat,0501-1500,004S,002E,28,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,011S,016E,3,Kateel River,Tundra,N,N,Natural
County,False Alarm,,Unknown,Unknown,Unknown,005S,004E,16,Fairbanks,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,0501-1500,007S,003E,31,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,41-55,N,2501-3500,013S,008W,8,Fairbanks,Other,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,022N,007E,33,Fairbanks,Black Spruce,N,N,Natural
ANCSA,False Alarm,,26-40,N,1501-2500,017N,013E,33,Copper River,Unknown,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,Flat,0501-1500,006S,017E,22,Kateel River,Black Spruce,N,N,Natural
State,False Alarm,,Unknown,Unknown,Unknown,019N,012E,33,Copper River,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,South West,0501-1500,009S,016E,28,Kateel River,Black Spruce,N,N,Natural
Private,False Alarm,,Unknown,Unknown,Unknown,003S,007W,10,Fairbanks,Other,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,South West,0501-1500,004S,023W,23,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,E,3501-4500,003S,003W,16,Copper River,Other,N,N,Natural
State,Lightning,Lightning,0-25,S,0-500,015S,043W,26,Seward,Other,N,N,Natural
State,Lightning,Lightning,0-25,S,0-500,015S,043W,24,Seward,Other,N,N,Natural
State,Lightning,Lightning,0-25,W,2501-3500,027N,011E,36,Seward,Grass,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,015S,019E,28,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,S,1501-2500,002S,001E,9,Copper River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,NW,0-500,006S,007W,30,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,2501-3500,021N,012E,22,Seward,Grass,N,N,Natural
State,Lightning,Lightning,0-25,NE,501-1500,007S,009W,30,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,W,501-1500,001S,004E,8,Fairbanks,Hardwoods,N,N,Natural
BLM,Lightning,Lightning,0-25,SW,501-1500,021N,053W,3,Seward,Other,N,N,Natural
State,Lightning,Lightning,0-25,SW,0-500,003S,006W,22,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,025S,015W,9,Kateel River,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,025S,015W,15,Kateel River,Tundra,N,N,Natural
BLM,False Alarm,False Alarm,0-25,Flat,1501-2500,006S,016E,18,Kateel River,Tundra,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,Flat,0501-1500,025S,014W,30,Kateel River,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,026S,014W,10,Kateel River,Tundra,N,N,Natural
ANCSA,Lightning,Lightning,41-55,N,1501-2500,016N,013E,9,Copper River,Black Spruce,N,N,Natural
ANCSA,False Alarm,,26-40,E,1501-2500,016N,017E,13,Copper River,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,1501-2500,007N,005W,31,Copper River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,026S,014W,20,Kateel River,Tundra,N,N,Natural
State,Lightning,Lightning,0-25,SE,0-500,017N,041W,2,Seward,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,017S,010W,7,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,N,501-1500,006S,014E,27,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,SE,0-500,002S,004W,19,Fairbanks,Hardwoods,N,N,Natural
BIA,Lightning,Lightning,0-25,NE,1501-2500,014N,019E,30,Copper River,Black Spruce,N,N,Natural
